Star,Correct,Incorrect,Total,pred1,pred2,pred3,pred4,pred5
1,41574,17925,59499,41574,9464,3876,2833,1747
2,9387,28423,37810,10062,9387,10539,6281,1541
3,14364,34153,48517,4886,4464,14364,21598,3205
4,67900,36421,104321,3264,1297,5348,67900,26512
5,209394,77471,286865,10549,577,1607,64738,209394
